    url_id     |                                                                        link                                                                        |        last_crawled        | data_publicacao | preco_atual |             freguesia              |   tipologia    | area_bruta_m2 | area_util_m2 | area_terreno_m2 | ano_construcao | num_quartos | num_wc | estacionamento | elevador | certificado_energetico |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       descricao_bruta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  A área privada é composta por três quartos, sendo um deles uma suíte, que oferece total privacidade e conforto. Conta ainda com uma casa de banho completa adicional, para servir os restantes quartos e visitas, com acabamentos de qualidade superior.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  A remodelação recente proporciona ao imóvel materiais modernos, iluminação eficiente e um ambiente acolhedor, pronto a estrear.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  MARQUE JÁ A SUA VISITA!
 126861014-49  | https://remax.pt/pt/imoveis/venda-terreno-toliveira-de-azemeis-oliveira-de-azemeis-santiago-de-riba-ul-ul-macinhata-da-seixa-e-madail/126861014-49 | 2025-11-20 11:44:20.177772 | 2025-11-20      |       29900 | Oliveira de Azeméis                | Desconhecida   |             0 |            0 |            2500 |              0 |           0 |      0 | Não            | Não      |                        | Terreno  para venda em Vilar, a escassos 5 minutos do centro da cidade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Oportunidade rara para quem procura investir ou construir a poucos minutos do centro da cidade de Oliveira de Azeméis. Este terreno destaca-se pela excelente localização, inserido numa zona tranquila e consolidada, com ótimos acessos e proximidade a comércio, escolas e serviços.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Possibilidade de viabilidade de construção – ideal para um projeto habitacional personalizado ou para investimento futuro.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Se valoriza localização, conveniência e potencial de valorização, este é o momento certo para agir.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Entre em contacto para mais informações e visita ao local.
 124571018-251 | https://remax.pt/pt/imoveis/venda-moradia-t3-condeixa-a-nova-condeixa-a-velha-e-condeixa-a-nova/124571018-251                                      | 2025-11-20 11:44:23.51296  | 2025-11-20      |      100000 | Condeixa-a-Velha e Condeixa-a-Nova | Moradia T3     |            60 |           60 |             285 |           1945 |           3 |      1 | 3+ Lugares     | Não      |                        | Moradia em pedra com grande logradouro para recuperar em Alcabideque, Condeixa. Esta propriedade, que outrora funcionou como a antiga estalagem de Alcabideque, mantém todo o charme e carácter típicos da época, oferecendo hoje um enorme potencial de reabilitação para quem procura um projeto único. Localizada no centro da aldeia, é composta por dois pisos: no rés do chão encontra cozinha, um quarto, arrumos, garagem, lojas e um amplo logradouro com eira. No primeiro piso dispõe de sala, três quartos, casa de banho e varanda. No exterior, o generoso logradouro conta com várias oliveiras e outras árvores, proporcionando privacidade e um ambiente tranquilo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  A antiga estalagem apresenta-se como uma excelente oportunidade para transformar o imóvel numa moradia bifamiliar ou num projeto habitacional feito à sua medida. Situada a apenas cinco minutos de Condeixa, encontra-se numa zona calma e muito próxima da nova centralidade do concelho, incluindo o Parque Verde e o Museu POROS, onde poderá usufruir de espaços culturais, desportivos e de lazer. A sua localização é também privilegiada em termos de acessos, ficando a cerca de dez minutos dos principais eixos rodoviários da região, como os nós da A1 e A13, e dos IC2 e IC3. Coimbra encontra-se a apenas vinte e cinco minutos, garantindo proximidade a serviços de saúde, ensino, comércio, cultura e restauração.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Se procura um imóvel autêntico, cheio de história e com elevado potencial, quer para habitação própria, quer para investimento, arrendamento ou desenvolvimento de um projeto de Alojamento Local ou Turismo Rural, esta é uma oportunidade a não perder. Contacte-me e marque já a sua visita!
 120261278-361 | https://remax.pt/pt/imoveis/venda-apartamento-t2-lisboa-campolide/120261278-361                                                                    | 2025-11-20 11:44:27.285089 | 2025-11-20      |      780000 | Campolide                          | Apartamento T2 |           108 |          100 |               0 |           2003 |           2 |      2 | 1 Lugar        | Sim      |                        | Apartamento T2 em Campolide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Descubra este elegante apartamento T2 mobilado, situado no prestigiado Edifício Columbano Residence, em Campolide, uma das zonas mais centrais e bem servidas de Lisboa. Ideal para quem valoriza um estilo de vida prático, urbano e confortável, com acesso imediato a transportes, comércio e serviços.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Destaques do imóvel:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Dois quartos, incluindo uma suíte com roupeiros embutidos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Sala ampla e luminosa com acesso a uma varanda com vista aberta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Exposição solar a sul que garante luz natural durante todo o dia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Ar condicionado novo em todas as divisões + aquecimento central                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Duas casas de banho completas com banheira                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Cozinha equipada com eletrodomésticos Bosch + despensa funcional                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Videoporteiro, caixilharia com vidros duplos e chão flutuante                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Lugar de estacionamento incluído                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           +
